have	1315648 -> had,has,'ve,having,'s,'d,d,ve
horn	1694 -> horns,horned
★mobile	1693 -> mobiles
★tray	1692 -> trays
creep	1691 -> crept,creeping,creeps
lonely	1691 -> loneliest,lonelier
moderate	1691 -> moderates,moderated,moderating
★packet	1691 -> packets
★systematic	1691 -> systematics
★debut	1689 -> debuts
smash	1689 -> smashed,smashing,smashes
★payable	1688 -> payables
★supervision	1688 -> supervisions
awake	1687 -> awoke,awoken,awakes,awaking
criticize	1686 -> criticized,criticizing,criticizes
★lancashire	1685 -> lancashires
★photographer	1685 -> photographers
★benjamin	1684 -> benjamins
slave	1684 -> slaves,slaving,slaved
★counterpart	1683 -> counterparts
★doorway	1683 -> doorways
matrix	1683 -> matrices,matrixes
★ussr	1683 -> ussrs
★brazil	1682 -> brazils
lounge	1682 -> lounges,lounging,lounged
★pint	1682 -> pints
★sensitivity	1682 -> sensitivities
drunk	1681 -> drunks,drunker
★fighter	1679 -> fighters
★orchestra	1677 -> orchestras
★carer	1676 -> carers
★relevance	1676 -> relevances
clutch	1675 -> clutching,clutched,clutches
intervene	1675 -> intervened,intervening,intervenes
sketch	1675 -> sketches,sketched,sketching
★similarity	1674 -> similarities
harsh	1673 -> harsher,harshest
jaw	1671 -> jaws,jawed,jawing
★questionnaire	1671 -> questionnaires
★archbishop	1669 -> archbishops
★monitoring	1667 -> monitorings
★notable	1667 -> notables
★hughes	1666 -> hughess
★diamond	1664 -> diamonds
★scot	1664 -> scots
descend	1663 -> descended,descending,descends
★sweden	1662 -> swedens
★neighbourhood	1661 -> neighbourhoods
★elite	1659 -> elites
★starting	1657 -> startings
fierce	1655 -> fiercest,fiercer
legitimate	1654 -> legitimated,legitimating,legitimates
toe	1654 -> toes,toed,toeing
★metropolitan	1653 -> metropolitans
rice	1653 -> rices,ricing,riced,rice
★tribute	1653 -> tributes
★guilt	1652 -> guilts
★hostility	1651 -> hostilities
★thief	1651 -> thieves
★muslim	1650 -> muslims
plunge	1650 -> plunged,plunging,plunges
★plc	1649 -> plcs
★super	1647 -> supers
★faculty	1646 -> faculties
★surgeon	1646 -> surgeons
★broadcasting	1645 -> broadcastings
★greece	1645 -> greeces
bolt	1643 -> bolts,bolted,bolting
★exclusion	1643 -> exclusions
★exploration	1643 -> explorations
★binding	1642 -> bindings
caution	1642 -> cautioned,cautions,cautioning
★memorial	1642 -> memorials
★midland	1641 -> midlands
assemble	1640 -> assembled,assembling,assembles
bias	1639 -> biased,biassed,biases,biasing
★socialism	1639 -> socialisms
whip	1639 -> whipped,whips,whipping
★dismissal	1638 -> dismissals
★hiv	1638 -> hivs
bronze	1637 -> bronzes,bronzing
★disappointment	1637 -> disappointments
★marshall	1637 -> marshalls
script	1637 -> scripts,scripted,scripting
limb	1636 -> limbs,limbed
blanket	1635 -> blankets,blanketed,blanketing
ton	1635 -> tons,toning,tonner
★geography	1634 -> geographies
★hitler	1633 -> hitlers
★provincial	1633 -> provincials
arrow	1632 -> arrows,arrowed,arrowing
hazard	1632 -> hazards,hazarded,hazarding
conceal	1631 -> concealed,concealing,conceals
★killing	1631 -> killings
scatter	1630 -> scattered,scattering,scatters
★kuwait	1628 -> kuwaits
★hollywood	1627 -> hollywoods
★recipe	1627 -> recipes
★surrey	1627 -> surreys
explode	1626 -> exploded,exploding,explodes
thread	1626 -> threads,threaded,threading
deem	1623 -> deemed,deems,deeming
distress	1623 -> distressed,distresses,distressing
stiff	1623 -> stiffer,stiffs,stiffest
happiness	1622 -> happinesses,happiness
temper	1622 -> tempered,tempers,tempering
★owl	1621 -> owls
spoil	1621 -> spoiled,spoilt,spoils,spoiling
★legend	1620 -> legends
tile	1619 -> tiles,tiled,tiling
canvas	1617 -> canvases,canvassed,canvassing
★dec	1617 -> decs
★mexico	1617 -> mexicoes
★reservation	1617 -> reservations
mould	1616 -> moulded,moulds,moulding
reproduce	1615 -> reproduced,reproducing,reproduces
★rubber	1614 -> rubbers
ridge	1613 -> ridges,ridging
★catherine	1612 -> catherines
decorate	1612 -> decorated,decorating,decorates
★medal	1612 -> medals
pulse	1612 -> pulses,pulsing,pulsed
★hostile	1611 -> hostiles
elbow	1610 -> elbows,elbowed,elbowing
endorse	1610 -> endorsed,endorsing,endorses
★transmission	1610 -> transmissions
★competence	1609 -> competences
lump	1609 -> lumps,lumped,lumping
scan	1609 -> scanning,scanned,scans
★cutting	1608 -> cuttings
segment	1608 -> segments,segmented,segmenting
contemplate	1605 -> contemplated,contemplating,contemplates
★poster	1605 -> posters
★tumour	1605 -> tumours
coincide	1603 -> coincided,coincides,coinciding
★keeper	1603 -> keepers
★neutral	1603 -> neutrals
★inhabitant	1602 -> inhabitants
★respondent	1602 -> respondents
★commerce	1600 -> commerces
★dolphin	1600 -> dolphins
jam	1599 -> jammed,jams,jamming
★unfortunate	1599 -> unfortunates
handsome	1596 -> handsomest,handsomer
★jonathan	1596 -> jonathans
sauce	1596 -> sauces,sauced
★trophy	1596 -> trophies
★supermarket	1595 -> supermarkets
derby	1594 -> derbies,derbys
★contractor	1592 -> contractors
scrap	1591 -> scraps,scrapped,scrapping
★overhead	1589 -> overheads
★breakdown	1588 -> breakdowns
dip	1588 -> dipped,dipping,dips
cling	1587 -> clung,clinging,clings
★frustration	1587 -> frustrations
glimpse	1586 -> glimpsed,glimpses,glimpsing
★marxist	1586 -> marxists
★coffin	1584 -> coffins
★economist	1584 -> economists
★verdict	1583 -> verdicts
★workforce	1583 -> workforces
★predecessor	1582 -> predecessors
shallow	1582 -> shallows,shallower,shallowest,shallowed,shallowing
treasure	1581 -> treasures,treasured,treasuring
★bruce	1576 -> bruces
★recruitment	1576 -> recruitments
sleeve	1575 -> sleeves,sleeved,sleeving
★eve	1574 -> eves
tuck	1574 -> tucked,tucking,tucks
fuck	1573 -> fucked,fucking,fucks
★adoption	1572 -> adoptions
cruise	1571 -> cruising,cruises,cruised
absent	1570 -> absented,absenting,absents
★alien	1570 -> aliens
exhaust	1569 -> exhausted,exhausting,exhausts
blade	1568 -> blades,bladed
★dining	1568 -> dinings
★nowadays	1568 -> nowadayss
★undertaking	1568 -> undertakings
★utility	1568 -> utilities
★biscuit	1567 -> biscuits
★correspondence	1567 -> correspondences
harvest	1567 -> harvested,harvesting,harvests
★robinson	1567 -> robinsons
★container	1566 -> containers
poison	1566 -> poisoned,poisons,poisoning
★electron	1564 -> electrons
chin	1563 -> chins,chinned
★milton	1563 -> miltons
plug	1562 -> plugs,plugged,plugging
★atom	1561 -> atoms
★boring	1561 -> borings
collar	1561 -> collars,collaring,collared
confess	1561 -> confessed,confesses,confessing
★jenny	1561 -> jennies
referee	1561 -> referees,refereed,refereeing
slam	1561 -> slammed,slamming,slams
★ruler	1560 -> rulers
★antibody	1559 -> antibodies
★charlotte	1559 -> charlottes
classify	1559 -> classified,classifying,classifies
★fitness	1559 -> fitnesses
★freud	1559 -> freuds
spill	1559 -> spilled,spilling,spills,spilt
★definite	1557 -> definites
★holland	1557 -> hollands
★barn	1555 -> barns
wee	1555 -> weed,wees,weeing
★cab	1553 -> cabs
★hut	1552 -> huts
patent	1552 -> patents,patented,patenting
formulate	1550 -> formulated,formulating,formulates
flush	1549 -> flushed,flushing,flushes
★johnny	1549 -> johnnies
lobby	1549 -> lobbying,lobbies,lobbied
★terror	1549 -> terrors
★conjunction	1548 -> conjunctions
★exam	1548 -> exams
★nonsense	1548 -> nonsenses
★prediction	1548 -> predictions
★campbell	1546 -> campbells
★execution	1546 -> executions
★wisdom	1546 -> wisdoms
★prevention	1543 -> preventions
★workstation	1543 -> workstations
★magnetic	1542 -> magnetics
advertise	1541 -> advertised,advertising,advertises
covenant	1541 -> covenants,covenanted,covenanting
★corbett	1540 -> corbetts
★pie	1540 -> pies
referendum	1540 -> referendums,referenda
★submission	1540 -> submissions
★cooking	1539 -> cookings
helicopter	1538 -> helicopters,helicoptered,helicoptering
stain	1538 -> stained,stains,staining
ham	1536 -> hams,hamming,hammed
wealthy	1536 -> wealthier,wealthiest
★circulation	1534 -> circulations
boil	1533 -> boiling,boiled,boils
lively	1532 -> livelier,liveliest
headline	1531 -> headlines,headlined,headlining
glow	1530 -> glowed,glowing,glows
★equality	1529 -> equalities
★suspension	1528 -> suspensions
powder	1527 -> powders,powdered,powdering
★grandfather	1526 -> grandfathers
beef	1525 -> beefed,beefing,beefs
★comedy	1525 -> comedies
★candle	1524 -> candles
★miracle	1524 -> miracles
★oven	1523 -> ovens
★norway	1522 -> norways
suck	1522 -> sucked,sucking,sucks
★affection	1521 -> affections
impress	1521 -> impressed,impressing,impresses
★handling	1520 -> handlings
★switzerland	1520 -> switzerlands
★alteration	1518 -> alterations
★verbal	1518 -> verbals
★basin	1517 -> basins
dispose	1517 -> disposed,disposing,disposes
★bloke	1516 -> blokes
spark	1516 -> sparked,sparks,sparking
vanish	1516 -> vanished,vanishes,vanishing
commence	1515 -> commenced,commencing,commences
convict	1514 -> convicted,convicts,convicting
★signature	1514 -> signatures
tempt	1514 -> tempted,tempting,tempts
vein	1514 -> veins,veined,veining
roar	1512 -> roared,roaring,roars
★bureaucracy	1511 -> bureaucracies
ladder	1511 -> ladders,laddered,laddering
nut	1511 -> nuts,nutting
parade	1510 -> paraded,parades,parading
brass	1509 -> brasses,brassed
★colonial	1508 -> colonials
levy	1508 -> levied,levies,levying
★terrorist	1508 -> terrorists
counsel	1507 -> counselled,counselling,counsels
loop	1507 -> loops,looped,looping
portion	1507 -> portions,portioned,portioning
tense	1506 -> tensed,tensing,tenses,tenser,tensest
★desktop	1505 -> desktops
despair	1505 -> despaired,despairs,despairing
dissolve	1504 -> dissolved,dissolves,dissolving
exit	1504 -> exits,exited,exiting
★washing	1504 -> washings
enclose	1502 -> enclosed,enclosing,encloses
★brighton	1501 -> brightons
★suite	1501 -> suites
pioneer	1499 -> pioneered,pioneers,pioneering
★embassy	1498 -> embassies
★brussels	1497 -> brusselss
★commodity	1497 -> commodities
★drawer	1497 -> drawers
regiment	1497 -> regiments,regimented
leak	1496 -> leaked,leaks,leaking
marble	1496 -> marbles,marbling
ruin	1496 -> ruins,ruining,ruined
★straw	1496 -> straws
loch	1495 -> lochs,loches
★composer	1494 -> composers
★empirical	1493 -> empiricals
★newton	1493 -> newtons
★dick	1491 -> dicks
★disturbance	1491 -> disturbances
★elephant	1491 -> elephants
stack	1491 -> stacked,stacks,stacking
★offensive	1490 -> offensives
pencil	1490 -> pencils,pencilled,pencilling
wolf	1489 -> wolves,wolfed,wolfing,wolfs
★abortion	1488 -> abortions
tent	1488 -> tents,tented
★odds	1487 -> oddss
★certainty	1486 -> certainties
★plea	1486 -> pleas
fist	1485 -> fists,fisting
★voting	1485 -> votings
intermediate	1483 -> intermediates,intermediated
dash	1479 -> dashed,dashing,dashes
★electronics	1478 -> electronicss
★encouragement	1474 -> encouragements
hull	1474 -> hulls,hulled,hulling
patrol	1474 -> patrols,patrolling,patrolled
slot	1474 -> slots,slotted,slotting
★tobacco	1473 -> tobaccos
★administrator	1472 -> administrators
★destination	1472 -> destinations
★ballet	1471 -> ballets
★contradiction	1471 -> contradictions
glare	1471 -> glared,glaring,glares
★ulcer	1471 -> ulcers
cough	1469 -> coughing,coughed,coughs
lace	1469 -> laced,laces,lacing
★mid	1469 -> mids
★runner	1469 -> runners
★burning	1467 -> burnings
★netherlands	1467 -> netherlandss
★custody	1465 -> custodies
★supper	1465 -> suppers
★duncan	1463 -> duncans
★integrity	1463 -> integrities
depict	1462 -> depicted,depicting,depicts
★tomato	1461 -> tomatoes
melt	1460 -> melted,melting,melts,molten
★restraint	1459 -> restraints
★tourism	1459 -> tourisms
★mining	1458 -> minings
★nato	1458 -> natoes
★takeover	1458 -> takeovers
★mobility	1457 -> mobilities
★quid	1457 -> quids
★rejection	1457 -> rejections
soap	1457 -> soaps,soaping,soaped
dive	1456 -> dived,diving,dives,dove
archive	1455 -> archives,archiving,archived
★hungary	1455 -> hungaries
★academy	1454 -> academies
gasp	1454 -> gasped,gasping,gasps
★goodbye	1454 -> goodbyes
★drinking	1453 -> drinkings
★bowel	1452 -> bowels
★imprisonment	1452 -> imprisonments
shepherd	1452 -> shepherds,shepherded,shepherding
★anderson	1450 -> andersons
thumb	1450 -> thumbs,thumbed,thumbing
★thigh	1449 -> thighs
haul	1448 -> hauled,hauling,hauls
deliberate	1446 -> deliberated,deliberating,deliberates
★passive	1446 -> passives
crude	1445 -> cruder,crudest,crudes
precede	1445 -> preceded,preceding,precedes
tidy	1445 -> tidying,tidied,tidier,tidies,tidiest
★marsh	1444 -> marshes
★maturity	1444 -> maturities
breeze	1442 -> breezes,breezed,breezing
chop	1442 -> chopped,chops,chopping
originate	1442 -> originated,originating,originates
★handful	1441 -> handfuls
★valuation	1440 -> valuations
★hamilton	1439 -> hamiltons
★honey	1439 -> honeys
★goodness	1438 -> goodnesses
★corruption	1436 -> corruptions
★roberts	1436 -> robertss
timetable	1435 -> timetables,timetabling,timetabled
bold	1434 -> bolder,boldest
slim	1434 -> slimmer,slimming,slimmed,slims,slimmest
★thompson	1434 -> thompsons
clarify	1433 -> clarified,clarifying,clarifies
divine	1433 -> divines,divined,divining,diviner
profound	1432 -> profoundest,profounder
sally	1432 -> sallies,sallied,sallying
bunch	1431 -> bunches,bunched,bunching
crush	1431 -> crushed,crushing,crushes
★inequality	1431 -> inequalities
★aberdeen	1430 -> aberdeens
★banker	1430 -> bankers
blend	1430 -> blended,blends,blending,blent
★arsenal	1428 -> arsenals
graph	1427 -> graphs,graphing,graphed
★fortnight	1426 -> fortnights
★spine	1426 -> spines
★faction	1425 -> factions
barrel	1424 -> barrels,barrelled,barrelling
★diesel	1424 -> diesels
★heath	1424 -> heaths
★taxpayer	1423 -> taxpayers
★parking	1422 -> parkings
subordinate	1422 -> subordinates,subordinated,subordinating
worthy	1422 -> worthies,worthier,worthiest
★habitat	1421 -> habitats
inspect	1421 -> inspected,inspecting,inspects
★interference	1421 -> interferences
★swiss	1421 -> swisses
★waiting	1421 -> waitings
salmon	1420 -> salmons,salmon
tighten	1420 -> tightened,tightening,tightens
amend	1419 -> amended,amending,amends
★ankle	1418 -> ankles
★grandmother	1418 -> grandmothers
★squadron	1418 -> squadrons
compensate	1417 -> compensated,compensating,compensates
★conscience	1415 -> consciences
★fossil	1415 -> fossils
★lecturer	1415 -> lecturers
★migration	1415 -> migrations
slump	1414 -> slumped,slumps,slumping
decree	1412 -> decreed,decrees,decreeing
★booking	1411 -> bookings
★diversity	1410 -> diversities
soup	1409 -> soups,souped,souping
circulate	1408 -> circulated,circulating,circulates
★comparative	1407 -> comparatives
★jan	1407 -> jans
★remains	1407 -> remainss
relieve	1406 -> relieved,relieving,relieves
★bacon	1404 -> bacons
★expedition	1404 -> expeditions
★davis	1403 -> daviss
★yacht	1403 -> yachts
★dioxide	1402 -> dioxides
★making	1402 -> makings
★norfolk	1402 -> norfolks
escort	1400 -> escorted,escorting,escorts
★monk	1400 -> monks
★quota	1400 -> quotas
toss	1400 -> tossed,tossing,tosses,tost
★revelation	1399 -> revelations
solo	1399 -> solos,soloing
★yugoslavia	1399 -> yugoslavias
★mosaic	1398 -> mosaics
★bacterium	1397 -> bacteria
characterise	1397 -> characterised,characterises,characterising
★collaboration	1397 -> collaborations
tremble	1397 -> trembling,trembled,trembles
fax	1394 -> faxes,faxed,faxing
widen	1394 -> widened,widening,widens
dictate	1393 -> dictated,dictates,dictating
★wrist	1393 -> wrists
★highway	1392 -> highways
★rising	1392 -> risings
activate	1391 -> activated,activating,activates
★peculiar	1391 -> peculiars
★dancer	1389 -> dancers
knot	1389 -> knots,knotted,knotting
★meantime	1389 -> meantimes
★motorway	1388 -> motorways
shiver	1388 -> shivered,shivering,shivers
fling	1387 -> flung,flinging,flings
★protocol	1387 -> protocols
★salad	1387 -> salads
★sexuality	1387 -> sexualities
overlap	1386 -> overlaps,overlapping,overlapped
★veteran	1386 -> veterans
★grief	1385 -> griefs
★sunderland	1385 -> sunderlands
bounce	1382 -> bounced,bouncing,bounces
prop	1381 -> propped,props,propping
waist	1381 -> waists,waisted
